name,f_high,f_low
AB10 1,0.050878,0.091518
AB10 6,0.056884,0.148915
AB10 7,0.029007,0.058889
AB11 5,0.122867,0.176747
AB11 6,0.135023,0.193036
AB11 7,0.084231,0.106087
AB11 8,0.009573,0.026066
AB11 9,0.014404,0.020870
AB12 3,0.000826,0.000937
AB12 4,0.041442,0.046634
AB12 5,0.004534,0.004655
AB12 9,0.003429,0.003891
AB13 0,0.010681,0.011107
AB14 0,0.069397,0.090291
AB15 4,0.144978,0.203853
AB15 5,0.085855,0.129208
AB15 6,0.018753,0.035935
AB15 7,0.034118,0.066375
AB15 8,0.005362,0.009755
AB15 9,0.006818,0.012406
AB16 5,0.000265,0.000295
AB16 6,0.000322,0.000358
AB16 7,0.008055,0.008086
AB16 9,0.000806,0.000898
AB21 0,0.022354,0.029091
AB21 1,0.018836,0.030008
AB21 7,0.012251,0.023712
AB21 9,0.018271,0.033238
AB22 8,0.010135,0.013527
AB22 9,0.004254,0.005760
AB23 8,0.003085,0.003134
AB23 9,0.004762,0.005625
AB24 1,0.001892,0.003700
AB24 2,0.043700,0.060754
AB24 3,0.001147,0.002243
AB24 4,0.001135,0.002220
AB24 5,0.001047,0.026319
AB25 1,0.076265,0.111508
AB25 2,0.080458,0.120903
AB25 3,0.012732,0.028322
AB25 9,0.056309,0.086491
AB30 1,0.059660,0.087917
AB31 4,0.046067,0.054278
AB31 5,0.011994,0.022755
AB31 6,0.043583,0.068776
AB31 9,0.031113,0.043604
AB32 6,0.010116,0.016679
AB32 7,0.045869,0.061927
AB33 8,0.044234,0.058997
AB34 4,0.103874,0.131657
AB34 5,0.055625,0.080401
AB35 5,0.167093,0.315430
AB36 8,0.119360,0.159487
AB37 9,0.023391,0.023927
AB38 7,0.284551,0.329091
AB38 9,0.039133,0.070462
AB39 2,0.192296,0.222725
AB39 3,0.028050,0.034230
AB39 8,0.034798,0.040612
AB39 9,0.111354,0.129958
AB41 1,0.028474,0.040862
AB41 6,0.029481,0.037531
AB41 7,0.020042,0.034286
AB41 8,0.029348,0.030196
AB41 9,0.034882,0.063674
AB42 0,0.030995,0.031481
AB42 1,0.018791,0.026055
AB42 2,0.002247,0.002729
AB42 3,0.009808,0.014253
AB42 4,0.039467,0.044024
AB42 5,0.014257,0.018814
AB42 9,0.019658,0.023883
AB43 6,0.001915,0.002414
AB43 7,0.031796,0.037250
AB43 8,0.023142,0.034293
AB43 9,0.008372,0.008679
AB44 1,0.007302,0.027913
AB45 1,0.029072,0.049868
AB45 2,0.027210,0.038954
AB45 3,0.028294,0.038057
AB51 0,0.028774,0.048338
AB51 1,0.039512,0.056335
AB51 3,0.075682,0.077673
AB51 4,0.004415,0.006294
AB51 5,0.037994,0.070869
AB51 6,0.040438,0.045315
AB51 7,0.094046,0.118579
AB51 8,0.015567,0.027189
AB52 6,0.055882,0.059944
AB53 4,0.005528,0.013413
AB53 5,0.014660,0.015055
AB53 6,0.030248,0.030826
AB53 8,0.043541,0.043844
AB54 4,0.042398,0.059217
AB54 6,0.020135,0.029489
AB54 7,0.017875,0.018819
AB54 8,0.022802,0.030417
AB54 9,0.027855,0.037253
AB55 4,0.043552,0.064021
AB55 5,0.012136,0.017558
AB55 6,0.039596,0.040495
AB56 1,0.030962,0.048254
AB56 4,0.027946,0.033661
AB56 5,0.023014,0.057486
AB56 9,0.028362,0.045519
AL1 1,0.015186,0.050436
AL1 2,0.010984,0.027691
AL1 3,0.000389,0.001146
AL1 4,0.000397,0.001170
AL1 5,0.000373,0.001098
AL1 9,0.004901,0.014444
AL10 0,0.000442,0.001606
AL10 1,0.005542,0.020151
AL10 8,0.000405,0.001471
AL10 9,0.014323,0.053669
AL2 1,0.082873,0.127310
AL2 2,0.038409,0.098177
AL2 3,0.002801,0.008741
AL3 4,0.021911,0.042990
AL3 5,0.001739,0.002792
AL3 6,0.013943,0.021172
AL3 7,0.026995,0.048179
AL3 8,0.044886,0.060400
AL4 0,0.021208,0.031908
AL4 8,0.037002,0.060055
